Time (s), Voltage (V), Resistance (Ohm)
0.00, 0.89, 5983
0.10, 0.87, 6134
0.20, 0.90, 5894
0.30, 0.86, 6235
0.40, 0.86, 6204
0.50, 0.88, 6073
0.60, 0.89, 5997
0.70, 0.89, 5997
0.80, 0.87, 6188
0.90, 0.89, 5960
1.00, 0.93, 5620
1.10, 0.87, 6111
1.20, 0.88, 6058
1.30, 0.89, 5997
1.40, 0.89, 5938
1.50, 0.90, 5829
1.60, 0.87, 6165
1.70, 0.86, 6227
1.80, 0.86, 6227
1.90, 0.85, 6315
2.00, 0.87, 6134
2.10, 0.86, 6259
2.20, 0.86, 6235
2.30, 0.86, 6243
2.40, 0.86, 6267
2.50, 0.86, 6220
2.60, 0.86, 6251
2.70, 0.86, 6283
2.80, 0.87, 6188
2.90, 0.78, 7069
3.00, 0.74, 7625
3.10, 0.72, 7821
3.20, 0.70, 8155
3.30, 0.82, 6685
3.40, 0.86, 6204
3.50, 0.88, 6020
3.60, 0.89, 5997
3.70, 0.87, 6180
3.80, 0.88, 6050
3.90, 0.89, 5938
4.00, 0.88, 6065
4.10, 0.87, 6134
4.20, 0.94, 5494
4.30, 0.87, 6180
4.40, 0.76, 7344
4.50, 0.76, 7405
4.60, 0.77, 7234
4.70, 0.87, 6165
4.80, 0.87, 6157
4.90, 0.87, 6173
5.00, 0.86, 6220
5.10, 0.86, 6267
5.20, 0.86, 6235
5.30, 0.86, 6204
5.40, 0.87, 6119
5.50, 0.88, 6080
5.60, 0.85, 6315
5.70, 0.87, 6165
5.80, 0.87, 6165
5.90, 0.86, 6204
