Time (s), Voltage (V), Resistance (Ohm)
0.00, 0.86, 6220
0.10, 0.85, 6364
0.20, 0.84, 6396
0.30, 0.84, 6462
0.40, 0.84, 6396
0.50, 0.85, 6388
0.60, 0.85, 6299
0.70, 0.87, 6111
0.80, 0.85, 6331
0.90, 0.85, 6331
1.00, 0.85, 6299
1.10, 0.86, 6283
1.20, 0.85, 6307
1.30, 0.86, 6291
1.40, 0.87, 6188
1.50, 0.86, 6267
1.60, 0.88, 6050
1.70, 0.87, 6126
1.80, 0.88, 6065
1.90, 0.88, 6020
2.00, 0.86, 6251
2.10, 0.87, 6142
2.20, 0.87, 6157
2.30, 0.85, 6364
2.40, 0.84, 6479
2.50, 0.84, 6413
2.60, 0.86, 6259
2.70, 0.84, 6396
2.80, 0.84, 6437
2.90, 0.84, 6446
3.00, 0.84, 6446
3.10, 0.83, 6496
3.20, 0.82, 6607
3.30, 0.82, 6615
3.40, 0.85, 6307
3.50, 0.82, 6650
3.60, 0.72, 7900
3.70, 0.69, 8276
3.80, 0.69, 8312
3.90, 0.69, 8374
4.00, 0.78, 7107
4.10, 0.84, 6429
4.20, 0.85, 6372
4.30, 0.85, 6388
4.40, 0.84, 6413
4.50, 0.87, 6180
4.60, 0.86, 6267
4.70, 0.89, 5946
4.80, 0.86, 6196
4.90, 0.89, 5997
5.00, 0.86, 6235
5.10, 0.84, 6462
5.20, 0.86, 6291
5.30, 0.81, 6729
5.40, 0.82, 6694
5.50, 0.86, 6283
5.60, 0.87, 6157
5.70, 0.85, 6355
5.80, 0.85, 6355
5.90, 0.83, 6581
