Time (s), Voltage (V), Resistance (Ohm)
0.00, 0.66, 8760
0.10, 0.68, 8487
0.20, 0.66, 8787
0.30, 0.67, 8615
0.40, 0.67, 8707
0.50, 0.70, 8179
0.60, 0.66, 8760
0.70, 0.67, 8680
0.80, 0.67, 8667
0.90, 0.66, 8720
1.00, 0.67, 8628
1.10, 0.67, 8628
1.20, 0.67, 8654
1.30, 0.67, 8680
1.40, 0.67, 8602
1.50, 0.67, 8563
1.60, 0.67, 8654
1.70, 0.67, 8628
1.80, 0.67, 8615
1.90, 0.67, 8667
2.00, 0.67, 8694
2.10, 0.68, 8512
2.20, 0.66, 8733
2.30, 0.70, 8120
2.40, 0.67, 8615
2.50, 0.67, 8707
2.60, 0.67, 8602
2.70, 0.67, 8680
2.80, 0.67, 8707
2.90, 0.67, 8654
3.00, 0.68, 8551
3.10, 0.68, 8525
3.20, 0.67, 8615
3.30, 0.67, 8589
3.40, 0.69, 8276
3.50, 0.68, 8487
3.60, 0.66, 8747
3.70, 0.66, 8787
3.80, 0.66, 8840
3.90, 0.67, 8707
4.00, 0.66, 8733
4.10, 0.66, 8733
4.20, 0.66, 8760
4.30, 0.66, 8760
4.40, 0.66, 8720
4.50, 0.66, 8733
4.60, 0.67, 8654
4.70, 0.66, 8733
4.80, 0.66, 8787
4.90, 0.66, 8787
5.00, 0.66, 8720
5.10, 0.66, 8760
5.20, 0.66, 8800
5.30, 0.67, 8602
5.40, 0.66, 8840
5.50, 0.66, 8733
5.60, 0.65, 8895
5.70, 0.66, 8773
5.80, 0.66, 8800
5.90, 0.66, 8733
