Time (s), Voltage (V), Resistance (Ohm)
0.00, 0.69, 8325
0.10, 0.68, 8399
0.20, 0.69, 8349
0.30, 0.68, 8424
0.40, 0.68, 8487
0.50, 0.69, 8386
0.60, 0.69, 8288
0.70, 0.68, 8411
0.80, 0.69, 8386
0.90, 0.69, 8349
1.00, 0.68, 8500
1.10, 0.69, 8374
1.20, 0.70, 8155
1.30, 0.69, 8325
1.40, 0.69, 8362
1.50, 0.68, 8399
1.60, 0.72, 7934
1.70, 0.68, 8424
1.80, 0.69, 8276
1.90, 0.69, 8325
2.00, 0.69, 8251
2.10, 0.69, 8362
2.20, 0.68, 8411
2.30, 0.68, 8474
2.40, 0.69, 8386
2.50, 0.70, 8132
2.60, 0.68, 8449
2.70, 0.69, 8374
2.80, 0.68, 8462
2.90, 0.68, 8411
3.00, 0.69, 8362
3.10, 0.69, 8362
3.20, 0.69, 8312
3.30, 0.69, 8325
3.40, 0.68, 8411
3.50, 0.68, 8487
3.60, 0.68, 8399
3.70, 0.68, 8462
3.80, 0.67, 8615
3.90, 0.68, 8500
4.00, 0.67, 8576
4.10, 0.67, 8707
4.20, 0.68, 8538
4.30, 0.67, 8563
4.40, 0.68, 8500
4.50, 0.67, 8589
4.60, 0.70, 8167
4.70, 0.67, 8602
4.80, 0.67, 8694
4.90, 0.67, 8563
5.00, 0.67, 8667
5.10, 0.67, 8615
5.20, 0.67, 8707
5.30, 0.67, 8589
5.40, 0.67, 8628
5.50, 0.66, 8733
5.60, 0.66, 8760
5.70, 0.67, 8615
5.80, 0.67, 8628
5.90, 0.66, 8773
