Time (s), Voltage (V), Resistance (Ohm)
0.00, 3.20, 70
0.10, 3.19, 73
0.20, 3.20, 70
0.30, 3.20, 69
0.40, 3.20, 69
0.50, 3.20, 69
0.60, 3.20, 68
0.70, 3.20, 69
0.80, 3.20, 69
0.90, 3.20, 70
1.00, 3.20, 69
1.10, 3.20, 70
1.20, 3.19, 73
1.30, 3.20, 70
1.40, 3.20, 70
1.50, 3.20, 68
1.60, 3.20, 68
1.70, 3.20, 68
1.80, 3.20, 68
1.90, 3.20, 72
2.00, 3.20, 70
2.10, 3.20, 72
2.20, 3.20, 70
2.30, 3.20, 69
2.40, 3.19, 74
2.50, 3.17, 91
2.60, 3.10, 143
2.70, 3.06, 176
2.80, 3.05, 184
2.90, 3.08, 155
3.00, 3.15, 103
3.10, 3.20, 72
3.20, 3.21, 61
3.30, 3.21, 59
3.40, 3.21, 59
3.50, 3.21, 58
3.60, 3.21, 60
3.70, 3.22, 56
3.80, 3.21, 62
3.90, 3.21, 61
4.00, 3.21, 62
4.10, 3.21, 63
4.20, 3.20, 66
4.30, 3.20, 65
4.40, 3.20, 69
4.50, 3.20, 70
4.60, 3.19, 77
4.70, 3.20, 70
4.80, 3.20, 69
4.90, 3.20, 70
5.00, 3.20, 70
5.10, 3.20, 68
5.20, 3.20, 65
5.30, 3.20, 68
5.40, 3.20, 68
5.50, 3.20, 65
5.60, 3.20, 67
5.70, 3.20, 67
5.80, 3.20, 66
5.90, 3.20, 68
