Time (s), Voltage (V), Resistance (Ohm)
0.00, 2.26, 1013
0.10, 2.33, 915
0.20, 2.22, 1065
0.30, 2.26, 1012
0.40, 2.25, 1027
0.50, 2.25, 1029
0.60, 2.23, 1062
0.70, 2.22, 1072
0.80, 2.20, 1101
0.90, 2.13, 1216
1.00, 2.12, 1220
1.10, 2.11, 1248
1.20, 2.11, 1240
1.30, 2.13, 1215
1.40, 2.09, 1269
1.50, 2.12, 1219
1.60, 2.12, 1224
1.70, 2.12, 1222
1.80, 2.10, 1260
1.90, 2.09, 1278
2.00, 2.09, 1281
2.10, 2.10, 1265
2.20, 2.07, 1301
2.30, 1.93, 1554
2.40, 2.10, 1252
2.50, 2.07, 1308
2.60, 2.03, 1379
2.70, 1.94, 1549
2.80, 1.82, 1797
2.90, 1.70, 2074
3.00, 1.72, 2018
3.10, 1.88, 1671
3.20, 1.96, 1509
3.30, 1.88, 1657
3.40, 2.04, 1357
3.50, 1.76, 1923
3.60, 1.74, 1979
3.70, 1.71, 2034
3.80, 1.49, 2670
3.90, 1.66, 2175
4.00, 1.82, 1790
4.10, 1.69, 2106
4.20, 1.70, 2078
4.30, 1.70, 2064
4.40, 1.70, 2072
4.50, 1.70, 2076
4.60, 1.76, 1916
4.70, 1.81, 1808
4.80, 1.86, 1707
4.90, 1.89, 1650
5.00, 1.92, 1590
5.10, 1.96, 1514
5.20, 1.98, 1474
5.30, 2.06, 1319
5.40, 2.03, 1372
5.50, 2.06, 1321
5.60, 2.10, 1265
5.70, 2.12, 1227
5.80, 2.18, 1130
