Time (s), Voltage (V), Resistance (Ohm)
0.00, 1.60, 2343
0.10, 1.62, 2273
0.20, 1.63, 2245
0.30, 1.57, 2415
0.40, 1.59, 2371
0.50, 1.60, 2336
0.60, 1.59, 2373
0.70, 1.60, 2329
0.80, 1.62, 2291
0.90, 1.60, 2341
1.00, 1.61, 2314
1.10, 1.60, 2327
1.20, 1.60, 2341
1.30, 1.55, 2497
1.40, 1.55, 2482
1.50, 1.59, 2357
1.60, 1.60, 2329
1.70, 1.61, 2302
1.80, 1.65, 2190
1.90, 1.52, 2567
2.00, 1.68, 2131
2.10, 1.69, 2102
2.20, 1.52, 2589
2.30, 1.61, 2320
2.40, 1.60, 2334
2.50, 1.66, 2182
2.60, 1.65, 2188
2.70, 1.63, 2251
2.80, 1.47, 2739
2.90, 0.82, 6703
3.00, 0.61, 9624
3.10, 0.53, 11576
3.20, 0.59, 10125
3.30, 1.21, 3798
3.40, 1.61, 2318
3.50, 1.63, 2260
3.60, 1.61, 2314
3.70, 1.60, 2327
3.80, 1.57, 2430
3.90, 1.63, 2258
4.00, 1.62, 2291
4.10, 1.58, 2387
4.20, 1.61, 2316
4.30, 1.59, 2378
4.40, 1.61, 2318
4.50, 1.60, 2350
4.60, 1.57, 2411
4.70, 1.60, 2343
4.80, 1.59, 2355
4.90, 1.60, 2348
5.00, 1.60, 2341
5.10, 1.55, 2490
5.20, 1.52, 2584
5.30, 1.35, 3172
5.40, 1.33, 3250
5.50, 1.30, 3385
5.60, 1.27, 3495
5.70, 1.45, 2822
5.80, 1.53, 2532
5.90, 1.55, 2485
