Time (s), Voltage (V), Resistance (Ohm)
0.00, 0.79, 7031
0.10, 0.79, 7021
0.20, 0.79, 7021
0.30, 0.79, 7021
0.40, 0.79, 7021
0.50, 0.79, 7040
0.60, 0.79, 7021
0.70, 0.79, 7012
0.80, 0.79, 7012
0.90, 0.79, 7031
1.00, 0.79, 7021
1.10, 0.79, 7031
1.20, 0.79, 7021
1.30, 0.79, 7031
1.40, 0.79, 7021
1.50, 0.79, 7021
1.60, 0.79, 7021
1.70, 0.79, 7021
1.80, 0.79, 7012
1.90, 0.79, 7012
2.00, 0.79, 7031
2.10, 0.79, 7021
2.20, 0.79, 7031
2.30, 0.79, 7031
2.40, 0.79, 7031
2.50, 0.79, 7021
2.60, 0.79, 7012
2.70, 0.79, 7031
2.80, 0.79, 7031
2.90, 0.79, 7031
3.00, 0.79, 7021
3.10, 0.79, 7012
3.20, 0.79, 7031
3.30, 0.78, 7059
3.40, 0.79, 7031
3.50, 0.79, 7012
3.60, 0.79, 7021
3.70, 0.79, 7021
3.80, 0.79, 7031
3.90, 0.79, 7031
4.00, 0.79, 7031
4.10, 0.79, 7021
4.20, 0.79, 7012
4.30, 0.79, 7031
4.40, 0.79, 7031
4.50, 0.79, 7021
4.60, 0.79, 7031
4.70, 0.79, 7021
4.80, 0.79, 7003
4.90, 0.79, 7012
5.00, 0.79, 7021
5.10, 0.79, 7031
5.20, 0.79, 7021
5.30, 0.79, 7031
5.40, 0.79, 7031
5.50, 0.79, 7021
5.60, 0.79, 7021
5.70, 0.79, 7012
5.80, 0.79, 7021
