x,y
21.00,2.00
20.94,1.41
20.85,0.82
20.76,0.22
61.70,-6.37
72.77,-9.23
72.64,-9.83
72.49,-10.42
105.20,-21.93
105.02,-22.52
116.06,-27.72
137.34,-37.93
137.12,-38.51
208.20,-76.12
207.94,-76.69
207.67,-77.26
286.50,-126.80
286.20,-127.36
287.64,-129.11
287.31,-129.66
289.31,-131.93
288.95,-132.47
291.52,-135.35
291.14,-135.87
292.28,-137.69
291.87,-138.19
294.44,-141.42
294.01,-141.90
296.08,-144.82
295.63,-145.28
297.68,-148.32
297.20,-148.76
299.61,-152.32
299.12,-152.74
303.59,-158.83
308.70,-165.81
312.63,-171.54
314.74,-175.15
314.21,-175.50
318.96,-182.67
318.41,-182.99
